Type,Date,Exercise / Meal,Category / Meal Type,Set Number,Reps,Weight (kg),Duration (hrs),Duration (mins),Total Duration (mins),Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Heart Rate (bpm),Foods,Notes,Logged At (UTC)
"Nutrition","2026-09-09","Snack","Snack","","","","","","","175","","42","","42","","700ml Pocari Sweat (100ml)","","2026-09-09T08:53:12.335Z"
"Nutrition","2026-09-09","Snack","Snack","","","","","","","110","2","30","","27","","40g Dates","","2026-09-09T08:52:58.992Z"
"Nutrition","2026-09-09","Snack","Snack","","","","","","","170","6","6","15","1","","30g Rosemary Almonds","","2026-09-09T08:36:22.047Z"
"Nutrition","2026-09-09","Protein","Protein","","","","","","","320","54","8","3","1","","45g Whey Protein Powder; 20g Collagen Peptides; 5g Chia Seeds; 10g Creatine (5g)","","2026-09-09T07:45:06.284Z"
"Nutrition","2026-09-09","Breakfast","Breakfast","","","","","","","1022","59","120","35","32","","2serving Banana; 125g Ground Beef 80/20; 1serving Boiled Eggs (2); 40g Sourdough Bread; 150g White Rice (Cooked); 1serving Cappuccino","","2026-09-09T03:33:10.954Z"
"Workout","2026-09-09","Push","chest","1","1","","","84","84","443","","","","","107","","","2026-09-09T06:16:58.284Z"
"Workout","2026-09-09","Abs","core","6","20","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","5","20","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","4","20","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","3","10","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","2","10","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","1","10","10","","","","","","","","","","","","2026-09-09T06:14:08.175Z"
"Workout","2026-09-09","Abs","core","6","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","5","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","4","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","3","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","2","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","1","10","","","","","","","","","","","","","2026-09-09T05:59:29.975Z"
"Workout","2026-09-09","Incline Press","chest","3","5","110","","","","","","","","","","","",""
"Workout","2026-09-09","Incline Press","chest","2","5","120","","","","","","","","","","","",""
"Workout","2026-09-09","Incline Press","chest","1","12","100","","","","","","","","","","","","2026-09-09T05:52:28.227Z"
"Workout","2026-09-09","Seated Lateral Raises Machine","shoulders","3","10","20","","","","","","","","","","","",""
"Workout","2026-09-09","Seated Lateral Raises Machine","shoulders","2","10","20","","","","","","","","","","","",""
"Workout","2026-09-09","Seated Lateral Raises Machine","shoulders","1","10","20","","","","","","","","","","","","2026-09-09T05:39:32.890Z"
"Workout","2026-09-09","Shoulder Press Machine","shoulders","3","9","80","","","","","","","","","","","",""
"Workout","2026-09-09","Shoulder Press Machine","shoulders","2","15","60","","","","","","","","","","","",""
"Workout","2026-09-09","Shoulder Press Machine","shoulders","1","15","40","","","","","","","","","","","","2026-09-09T05:32:52.724Z"
"Workout","2026-09-09","Rear Delt Fly Machine","shoulders","3","10","72.5","","","","","","","","","","","",""
"Workout","2026-09-09","Rear Delt Fly Machine","shoulders","2","10","72.5","","","","","","","","","","","",""
"Workout","2026-09-09","Rear Delt Fly Machine","shoulders","1","15","65","","","","","","","","","","","","2026-09-09T05:11:58.184Z"
"Workout","2026-09-09","Fly Machine","chest","3","9","102.5","","","","","","","","","","","",""
"Workout","2026-09-09","Fly Machine","chest","2","10","95","","","","","","","","","","","",""
"Workout","2026-09-09","Fly Machine","chest","1","12","87.5","","","","","","","","","","","","2026-09-09T05:02:37.391Z"
"Workout","2026-09-09","Standing Chest Flies","chest","3","12","125","","","","","","","","","","","",""
"Workout","2026-09-09","Standing Chest Flies","chest","2","15","125","","","","","","","","","","","",""
"Workout","2026-09-09","Standing Chest Flies","chest","1","15","125","","","","","","","","","","","","2026-09-09T04:52:46.516Z"
"Nutrition","2026-09-08","Dinner","Dinner","","","","","","","1249","56","78","82","8","","150g Beef Patty; 100g Sweet Potato Fries; 100g White Rice (Cooked); 100g Avocado; 50g Broccoli; 20g Olive Oil; 25g Cheddar Cheese","","2026-09-08T13:37:20.123Z"
"Nutrition","2026-09-08","Protein","Protein","","","","","","","611","34","86","21","","","1serving The 100 Protein Shake","","2026-09-08T09:30:20.510Z"
"Nutrition","2026-09-08","Lunch","Lunch","","","","","","","624","65","36","23","7","","200g Beef Tenderloin; 100g White Rice (Cooked); 1serving Cappuccino","","2026-09-08T07:31:58.256Z"
"Nutrition","2026-09-08","Lunch","Lunch","","","","","","","225","","54","","54","","900ml Pocari Sweat","","2026-09-08T06:30:56.961Z"
"Nutrition","2026-09-08","Protein","Protein","","","","","","","320","54","8","3","1","","45g Whey Protein Powder; 20g Collagen Peptides; 5g Chia Seeds; 10g Creatine (5g)","","2026-09-08T06:22:04.096Z"
"Nutrition","2026-09-08","Lunch","Lunch","","","","","","","90","1","23","","12","","1serving Banana","","2026-09-08T04:17:33.990Z"
"Nutrition","2026-09-08","Breakfast","Breakfast","","","","","","","80","4","8","3","7","","1serving Cappuccino","","2026-09-08T03:43:43.196Z"
"Nutrition","2026-09-08","Breakfast","Breakfast","","","","","","","420","8","78","10","13","","1serving Mango Smoothie Bowl","","2026-09-08T03:43:31.937Z"
"Nutrition","2026-09-08","Breakfast","Breakfast","","","","","","","560","22","34","38","","","1serving Brown Butter Scramble","","2026-09-08T03:43:24.025Z"
"Workout","2026-09-08","Sauna","recovery","1","","","","10","10","","","","","","","","","2026-09-08T13:49:58.766Z"
"Workout","2026-09-08","Sauna","recovery","1","","","","10","10","","","","","","","","","2026-09-08T13:49:53.489Z"
"Workout","2026-09-08","Calf Raises","legs","4","15","60","","","","","","","","","","","",""
"Workout","2026-09-08","Calf Raises","legs","3","20","60","","","","","","","","","","","",""
"Workout","2026-09-08","Calf Raises","legs","2","20","60","","","","","","","","","","","",""
"Workout","2026-09-08","Calf Raises","legs","1","25","40","","","","","","","","","","","","2026-09-08T05:06:05.121Z"
"Workout","2026-09-08","Leg Press","legs","4","15","97.5","","","","","","","","","","","",""
"Workout","2026-09-08","Leg Press","legs","3","18","90","","","","","","","","","","","",""
